fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2013,"Arts, Culture & Recreation",2008 Parks Levy,2008 Parks Levy Fund BCL-1,2008 Parks Levy Fund Program,General Fund,Tax-Supported Fund,Operating Expense,2008 Parks Levy Fund Program,0,
2011,"Arts, Culture & Recreation",2008 Parks Levy,Support to Multi-Purpose Trails,Support to Multi-Purpose Trails,General Fund,Tax-Supported Fund,Operating Expense,Support to Multi-Purpose Trails,0,0
2010,"Arts, Culture & Recreation",2008 Parks Levy,Support to Multi-Purpose Trails,Support to Multi-Purpose Trails,General Fund,Tax-Supported Fund,Operating Expense,Support to Multi-Purpose Trails,0,3500000
2015,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,General Fund,Tax-Supported Fund,Operating Expense,Library Levy Operating Transfer,0,13139976
2014,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,General Fund,Tax-Supported Fund,Operating Expense,Library Levy Operating Transfer,0,12421257
2013,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,General Fund,Tax-Supported Fund,Operating Expense,Library Levy Operating Transfer,0,13049781
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services,0,652869
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach,0,616223
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships,0,3810876
2015,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Institute,General Fund,Tax-Supported Fund,Operating Expense,Langston Hughes Performing Arts Institute,0,875117
2015,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,3065271
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services,0,587501
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach,0,524767
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships,0,3590763
2014,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Institute,General Fund,Tax-Supported Fund,Operating Expense,Langston Hughes Performing Arts Institute,0,809180
2014,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,2991732
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - AT,0,400682.8098
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - AT,0,518398.0215
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - AT,0,3030728.53
2013,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Center - AT,General Fund,Tax-Supported Fund,Operating Expense,Langston Hughes Performing Arts Center - AT,0,745698
2013,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,2449820.236
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - AT,0,384163.5043
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - AT,0,1622271.868
2012,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships - AT,General Fund,Tax-Supported Fund,Operating Expense,Cultural Partnerships - AT,0,3043099.873
2012,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Municipal Arts Fund,General Fund,Tax-Supported Fund,Operating Expense,Municipal Arts Fund,0,2323697.834
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services - AT,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services - AT,0,342609.4376
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Arts Account,General Fund,Tax-Supported Fund,Operating Expense,Arts Account,0,0
2011,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach - AT,General Fund,Tax-Supported Fund,Operating Expense,Community Development and Outreach - AT,0,1471779.632
