name,location,rank,description,tuition_and_fees,in_state,undergrad_enrollment
University of California--Berkeley,"Berkeley, CA",20,"The University of California--Berkeley, often referred to as Cal, is situated overlooking the San Francisco Bay. Typically, 95 percent or more of incoming freshmen at Berkeley choose to live on campus. There are more than 1,000 student organizations, ranging from political groups to a hang gliding club and everything in between. Berkeley also has a thriving Greek life with dozens of fraternity and sorority chapters. The California Golden Bears, Berkeley's athletic teams, compete in the Pac-12 Conference and are known for their traditional arch rivalry with Stanford University. ",40.191,13.509,27496
University of California--Los Angeles,"Los Angeles, CA",24,"The University of California--Los Angeles, commonly referred to as UCLA, is located in the Westwood neighborhood of L.A., just five miles from the Pacific Ocean. UCLA guarantees housing for three years. Students can join any of the more than 800 student organizations, including 60 or so Greek chapters, which represent about 13 percent of the student body. The university has a number of student media groups including a newspaper, magazine, and radio and TV stations. The UCLA Bruins compete in the Pac-12 Conference of NCAA's Division I and are well known for their successful men's and women's water polo teams. The Bruins' football team plays its home games at the famous Rose Bowl stadium in nearby Pasadena. ",39.518,12.836,29585
University of Virginia,"Charlottesville, VA",24,"Founded by Thomas Jefferson, the University of Virginia is located in Charlottesville. It's referred to among insiders as Mr. Jefferson's University or simply The University. Only first-year students are required to live on campus, and many upperclassmen live in off-campus apartments or fraternity and sorority houses. Greek life is prominent at UVA with a membership that includes approximately 30 percent of the student body. The Cavaliers, known unofficially as Wahoos or äóHoos, are members of the NCAA Division I Atlantic Coast Conference and are well known for their consistently dominant men's and women's lacrosse teams. ",45.066,15.722,16736
University of Michigan--Ann Arbor,"Ann Arbor, MI",27,"The University of Michigan boasts one of the best college towns in the country: Ann Arbor, only 45 minutes from the city of Detroit. Freshmen are guaranteed housing but are not required to live on campus. Nearly 20 percent of the undergraduate student body is affiliated with Greek life at Michigan, which contains approximately 60 fraternity and sorority chapters. If Greek life does not sound appealing, there are more than 900 other student organizations from which to choose. The Michigan Wolverines have many traditions: Their colors are maize and blue, their widely known chant is ""Go Blue!,"" their stadium is called the ""Big House,"" and their football program, known for its fierce rivalry with Ohio State, is one of the most storied teams in college football. ",43.476,13.856,28312
University of North Carolina--Chapel Hill,"Chapel Hill, NC",30,"The University of North Carolina--Chapel Hill, often referred to as UNC, offers a wide range of student activities. Popular student organizations include The Daily Tarheel, UNC's student newspaper, and WXYC, the student-run radio station. More than 3,000 students are members of Greek life. Chapel Hill, which surrounds UNC, is often considered one of the best college towns in the country, offering music, restaurants and shopping. Almost half of all undergraduates live on campus in one of the residence halls or apartment complexes. The North Carolina Tar Heels are members of the Atlantic Coast Conference and are known for their men's basketball team, which maintains a storied rivalry with nearby institution Duke University and is one of the most successful programs in college basketball. Former players include Michael Jordan and Vince Carter. ",33.916,8.834,18415
College of William & Mary,"Williamsburg, VA",32,"The College of William and Mary is second oldest college in the country. It was founded by King William III and Queen Mary II of England. The school's NCAA Division I varsity sports teams, known as the ""Tribe,"" participate in the Colonial Athletic Association. Students are involved with the Phi Beta Kappa fraternity, the nation's first academic Greek society, as well as other fraternities and sororities on campus. All freshmen are required to live on campus and the majority of upperclassmen live on campus as well. The school is located in historic downtown Williamsburg, Va. ",41.718,18.687,6301
Georgia Institute of Technology,"Atlanta, GA",34,"Georgia Tech, located in the heart of Atlanta, offers a wide range of student activities. The Georgia Tech Yellow Jackets, an NCAA Division I team, compete in the Atlantic Coast Conference and have a fierce rivalry with the University of Georgia. Since 1961, the football team has been led onto the field at home games by the Ramblin' Wreck, a restored 1930 Model A Ford Sport Coupe. Georgia Tech has a small but vibrant Greek community. Freshmen are offered housing, but aren't required to live on campus. In addition to its campuses in Atlanta and Savannah, Georgia Tech has campuses in France, Ireland, Costa Rica, Singapore and China. ",32.404,12.212,15142
University of California--Santa Barbara,"Santa Barbara, CA",37,"Located 100 miles up the coast from Los Angeles, the University of California--Santa Barbara sits atop cliffs overlooking the Pacific Ocean. Students can get involved in any of the more than 400 clubs and organizations on campus, including a Greek community that comprises about 10 percent of undergraduate students. UCSB provides housing to about 30 percent of students in eight residence halls and several university apartment complexes.The UC Santa Barbara Gauchos compete primarily in the NCAA Division I Big West Conference and are known for their successful women's basketball and men's soccer teams. Non-varsity students can join a club team such as cycling, surfing, rugby or ski and snowboard. ",40.704,14.022,20607
University of California--Irvine,"Irvine, CA",39,"On the sunny campus of the University of California--Irvine, students don't have far to go to decompress after class. The Pacific Ocean is a quick 5-mile trip away, attracting surfers, sailors and sunbathers alike. Seated in Orange County, the bustling campus is home to more than 500 student organizations, including nearly 50 fraternities and sororities. The UC--Irvine Anteaters compete at the Division I level in the Big West Conference, cheered on by non-traditional mascot Peter the Anteater and a group of student fans called Eater Nation. While UC Irvine is known as a commuter school, university officials have tried to combat that status by offering more on-campus residence options. Freshmen are not required to live on campus, but more than three-fourths of first-year students choose to do so. Getting around UC Irvine is easy with the school's ZotWheels, a fleet of blue and gold bicycles that students can pick up and ride to four campus locations. Commuters looking to be more energy efficient can carpool to campus with other students through the university's Zimride Rideshare Community. ",39.458,14.75,25256
University of California--Davis,"Davis, CA",44,"The University of California--Davis, one of 10 schools in the University of California system, was originally established as a farm school for UC - Berkeley. Located just 15 miles from Sacramento, UC Davis's campus contains an airport, fire department and a collection of outdoor sculptures called Eggheads. There are more than 500 student organizations on campus in addition to a sizeable Greek community that comprises about 65 fraternity and sorority chapters. All freshmen are guaranteed housing, and after their first year students typically move off campus or live in university apartments. The UC Davis Aggies field more than 20 NCAA Division I teams, and students can join the Aggie Pack, the largest student spirit organization in the country. ",40.728,14.046,28384
